Date,Open,High,Low,Close,Volume
22-Oct-15,47026.71,47909.00,47026.71,47772.14,-
21-Oct-15,47076.55,47273.73,46653.85,47025.87,-
20-Oct-15,47446.94,47727.54,46622.87,47076.55,-
19-Oct-15,47242.47,47536.25,46916.77,47447.31,-
16-Oct-15,47161.02,47727.44,46516.85,47236.10,-
15-Oct-15,46730.26,47187.58,46321.48,47161.15,-
14-Oct-15,47349.43,47714.78,46700.73,46710.44,-
13-Oct-15,49339.14,49339.14,47134.90,47362.64,-
9-Oct-15,49105.12,49752.04,48698.44,49338.41,-
8-Oct-15,48915.37,49247.28,48657.64,49106.56,-
7-Oct-15,47735.32,49290.26,47714.69,48914.32,-
6-Oct-15,47598.49,48091.62,47388.54,47735.11,-
5-Oct-15,47033.28,48081.44,47018.61,47598.07,-
2-Oct-15,45313.39,47033.46,44973.40,47033.46,-
1-Oct-15,45064.26,45547.33,44788.93,45313.27,-
30-Sep-15,44131.76,45294.37,44131.76,45059.34,-
29-Sep-15,43956.46,44530.71,43956.04,44131.82,-
28-Sep-15,44831.62,44831.62,43766.61,43956.63,-
25-Sep-15,45300.34,45968.66,44697.01,44831.46,-
24-Sep-15,45339.70,45571.86,44182.73,45291.97,-
23-Sep-15,46262.51,46480.08,45340.11,45340.11,-
22-Sep-15,46572.04,46585.35,45276.23,46264.61,-
21-Sep-15,47263.27,47390.54,46424.60,46590.20,-
18-Sep-15,48549.50,48549.50,46927.83,47264.08,-
17-Sep-15,48552.71,49395.62,48081.62,48551.08,-
16-Sep-15,47364.07,48680.97,47364.07,48553.10,-
15-Sep-15,47281.03,47688.88,46745.85,47364.07,-
14-Sep-15,46399.98,47385.76,46217.71,47281.52,-
11-Sep-15,46508.91,46558.06,46175.88,46400.51,-
10-Sep-15,46655.83,46819.09,45592.08,46503.99,-
9-Sep-15,46762.07,47839.78,46614.14,46657.10,-
8-Sep-15,46500.90,47243.23,46496.79,46762.07,-
4-Sep-15,47365.51,47377.23,46320.43,46497.72,-
3-Sep-15,46467.97,47532.37,46279.41,47365.87,-
2-Sep-15,45484.22,46473.75,45445.07,46463.96,-
1-Sep-15,46625.08,46625.08,45278.27,45477.06,-
31-Aug-15,47151.43,47151.43,45569.94,46625.52,-
28-Aug-15,47696.83,47872.39,46847.37,47153.87,-
27-Aug-15,46038.08,47996.65,46038.08,47715.27,-
26-Aug-15,44545.67,46039.43,44540.18,46038.08,-
25-Aug-15,44337.54,45587.89,44337.54,44544.85,-
24-Aug-15,45714.92,45714.92,42749.23,44336.47,-
21-Aug-15,46649.35,46649.35,45676.76,45719.64,-
20-Aug-15,46587.51,46780.81,46029.56,46649.23,-
19-Aug-15,47450.58,47450.58,45977.38,46588.39,-
18-Aug-15,47220.49,48084.31,46675.92,47450.58,-
17-Aug-15,47508.83,47787.95,47217.43,47217.43,-
14-Aug-15,48010.09,48186.03,47508.41,47508.41,-
13-Aug-15,48389.64,48605.89,47721.75,48009.57,-
12-Aug-15,49063.87,49063.87,48027.56,48388.05,-
11-Aug-15,49339.86,49339.86,48305.66,49072.34,-
10-Aug-15,48578.05,49511.63,48578.05,49353.00,-
7-Aug-15,50013.41,50013.41,48511.68,48577.32,-
6-Aug-15,50279.64,50534.17,49623.61,50011.32,-
5-Aug-15,50066.85,50852.53,50066.85,50287.27,-
4-Aug-15,50137.62,50574.01,49826.74,50058.49,-
3-Aug-15,50866.92,50866.92,50053.82,50138.05,-
31-Jul-15,49897.40,50894.51,49892.29,50864.77,-
30-Jul-15,50245.14,50644.62,49612.04,49897.40,-
29-Jul-15,49601.91,50332.57,49421.69,50245.15,-
28-Jul-15,48740.26,49871.17,48740.26,49601.60,-
27-Jul-15,49245.85,49298.39,48639.95,48735.54,-
24-Jul-15,49804.29,49831.46,48624.14,49245.85,-
23-Jul-15,50915.79,51063.48,49668.23,49806.63,-
22-Jul-15,51473.92,51473.92,50592.47,50915.79,-
21-Jul-15,51603.33,51997.69,51244.05,51474.28,-
20-Jul-15,52341.42,52423.68,51525.45,51600.08,-
17-Jul-15,53069.75,53310.20,52221.14,52341.80,-
16-Jul-15,52902.28,53416.98,52713.87,53069.75,-
15-Jul-15,53239.18,53333.82,52790.46,52902.28,-
14-Jul-15,53119.47,53415.87,52652.75,53239.18,-
13-Jul-15,52590.72,53163.57,52590.72,53119.47,-
10-Jul-15,51782.26,52785.52,51782.26,52590.72,-
8-Jul-15,52343.39,52467.52,51574.12,51781.75,-
